address,block,street_name,lat_long
158 WOODLANDS STREET 13,158,WOODLANDS ST 13,"Error: Road retrieved. Returned address Woodlands Street 13, Woodlands, Northwest, 738623, Singapore"
33 BEDOK SOUTH AVENUE 2,33,BEDOK STH AVE 2,"1.3228103999999998, 103.93905107774586"
183 BUKIT BATOK WEST AVENUE 8,183,BT BATOK WEST AVE 8,"1.3462705000000001, 103.74338222929208"
18 EUNOS CRESCENT,18,EUNOS CRES,"1.3237537499999998, 103.90443552829564"
286C TOH GUAN ROAD,286C,TOH GUAN RD,"1.3390389, 103.74453350480412"
673A EDGEFIELD PLAINS,673A,EDGEFIELD PLAINS,"1.40669035, 103.91140464087464"
501D WELLINGTON CIRCLE,501D,WELLINGTON CIRCLE,"Error: Not Singapore. Returned address 501, Wellington Circle, Rochester Hills, Oakland County, Michigan, 48309, United States"
100 LORONG 1 TOA PAYOH,100,LOR 1 TOA PAYOH,"1.3395416500000001, 103.84858787356544"
506 ANG MO KIO AVENUE 8,506,ANG MO KIO AVE 8,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 8, Ang Mo Kio, Singapore, Central, 569843, Singapore"
204 BOON LAY DRIVE,204,BOON LAY DR,"1.344387, 103.71514622348784"
671B JURONG WEST STREET 65,671B,JURONG WEST ST 65,"1.3440021, 103.70205103548648"
199C PUNGGOL FIELD,199C,PUNGGOL FIELD,"Error: Road retrieved. Returned address Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore"
412 WOODLANDS STREET 41,412,WOODLANDS ST 41,"1.4281394, 103.77288759999999"
349 WOODLANDS AVENUE 3,349,WOODLANDS AVE 3,"1.4335101, 103.7825328"
253 HOUGANG AVENUE 3,253,HOUGANG AVE 3,"Error: Road retrieved. Returned address Hougang Avenue 3, Hougang, Northeast, 534412, Singapore"
663A PUNGGOL DRIVE,663A,PUNGGOL DR,"1.4003259, 103.91687420357745"
619 BEDOK RESERVOIR ROAD,619,BEDOK RESERVOIR RD,"1.3334453000000002, 103.91767752885784"
669A EDGEFIELD PLAINS,669A,EDGEFIELD PLAINS,"1.40486925, 103.91400309180784"
140 YISHUN RING ROAD,140,YISHUN RING RD,"1.4311779, 103.83056875"
449 CLEMENTI AVENUE 3,449,CLEMENTI AVE 3,"1.312804, 103.7651765"
17 JALAN TENTERAM,17,JLN TENTERAM,"Error: Not Singapore. Returned address Hotel Sentral, 17, Jalan Tenteram, Johor Bahru, Iskandar Malaysia, Johor, 80300, Malaysia"
745 PASIR RIS STREET 71,745,PASIR RIS ST 71,"1.37833495, 103.93567924643678"
158 BEDOK SOUTH AVENUE 3,158,BEDOK STH AVE 3,"1.3187419999999999, 103.94505644769569"
422 PASIR RIS DRIVE 6,422,PASIR RIS DR 6,"1.37058115, 103.95444378729493"
80B LORONG 4 TOA PAYOH,80B,LOR 4 TOA PAYOH,"1.3353188500000002, 103.84982495008316"
407 BUKIT BATOK WEST AVENUE 4,407,BT BATOK WEST AVE 4,"1.36483525, 103.74584425881096"
328 JURONG EAST STREET 31,328,JURONG EAST ST 31,"1.34936935, 103.73016094669117"
814 TAMPINES STREET 81,814,TAMPINES ST 81,"1.34729025, 103.93649422456207"
401 ANG MO KIO AVENUE 10,401,ANG MO KIO AVE 10,"1.3609939500000001, 103.8554229016294"
424 BEDOK NORTH AVENUE 1,424,BEDOK NTH AVE 1,"1.32838355, 103.9275229615746"
21 BALAM ROAD,21,BALAM RD,"1.3312167499999998, 103.8869487531579"
544 JURONG WEST STREET 42,544,JURONG WEST ST 42,"1.3522389, 103.715901"
128C PUNGGOL FIELD WALK,128C,PUNGGOL FIELD WALK,"1.39265545, 103.91233258336268"
93 COMMONWEALTH DRIVE,93,C'WEALTH DR,"1.305255, 103.80008521299172"
206B COMPASSVALE LANE,206B,COMPASSVALE LANE,"1.3871461, 103.8968024"
298 TAMPINES STREET 22,298,TAMPINES ST 22,"1.35160785, 103.95497454738204"
248 KIM KEAT LINK,248,KIM KEAT LINK,"1.3315815500000001, 103.8561473014004"
737 WOODLANDS CIRCLE,737,WOODLANDS CIRCLE,"1.4436018499999999, 103.79663065263762"
386 BUKIT BATOK WEST AVENUE 5,386,BT BATOK WEST AVE 5,"1.3639965, 103.7527407"
108 BUKIT PURMEI ROAD,108,BT PURMEI RD,"1.2734462500000001, 103.82582829067194"
919 HOUGANG AVENUE 4,919,HOUGANG AVE 4,"Error: Road retrieved. Returned address Hougang Avenue 4, Hougang, Northeast, 530682, Singapore"
211 BOON LAY PLACE,211,BOON LAY PL,"1.3483569499999999, 103.71360219294507"
643 JURONG WEST STREET 61,643,JURONG WEST ST 61,"1.3393035, 103.69568471379063"
673 WOODLANDS DRIVE 71,673,WOODLANDS DR 71,"Error: Road retrieved. Returned address Woodlands Drive 71, Woodlands, Northwest, 738344, Singapore"
773 YISHUN AVENUE 3,773,YISHUN AVE 3,"1.42336745, 103.83261672036147"
