classification,avg_distance,avg_resale_price,count
0,0.3151762820754715,441640.641509434,53
1,0.7830290053819441,420585.6697222222,288
2,1.2581111189368783,368603.3754152824,301
3,1.8417733028662384,385452.56369426753,314
4,2.1965032785046685,431051.85046728974,428
5,2.8219636333333344,735380.2222222222,36
