block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
550,BEDOK NTH AVE 1,2020-01,BEDOK,3 ROOM,10 TO 12,68.0,New Generation,1980,59 years 05 months,285000.0,550 BEDOK NORTH AVENUE 1,"1.3322337000000002, 103.92632329441884",0.9700625
424,BEDOK NTH AVE 1,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1979,58 years,293000.0,424 BEDOK NORTH AVENUE 1,"1.32838355, 103.9275229615746",1.0635799
521,BEDOK NTH AVE 1,2020-01,BEDOK,3 ROOM,04 TO 06,67.0,New Generation,1979,58 years 06 months,260000.0,521 BEDOK NORTH AVENUE 1,"1.33023815, 103.92708013204543",1.0303822
418,BEDOK NTH AVE 2,2020-01,BEDOK,3 ROOM,04 TO 06,67.0,New Generation,1978,57 years 10 months,295000.0,418 BEDOK NORTH AVENUE 2,"1.3287195, 103.93000766161026",1.3344725
418,BEDOK NTH AVE 2,2020-01,BEDOK,3 ROOM,07 TO 09,82.0,New Generation,1978,57 years 10 months,310000.0,418 BEDOK NORTH AVENUE 2,"1.3287195, 103.93000766161026",1.3344725
102,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1977,56 years 06 months,265000.0,102 BEDOK NORTH AVENUE 4,"1.3338812500000001, 103.93746031397716",2.1740713
105,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,13 TO 15,82.0,New Generation,1977,56 years 06 months,332000.0,105 BEDOK NORTH AVENUE 4,"1.3337089, 103.93656069946745",2.075069
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years 01 month,235000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",2.6813202
77,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,60.0,Improved,1986,65 years 03 months,250000.0,77 BEDOK NORTH ROAD,"1.328667, 103.94196030658946",2.6485512
125,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1978,57 years 04 months,275000.0,125 BEDOK NORTH ROAD,"1.3288278, 103.93905302272728",2.3278348
75,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,57 years,268000.0,75 BEDOK NORTH ROAD,"1.3278894, 103.94211844583151",2.6639435
426,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years,262000.0,426 BEDOK NORTH ROAD,"1.32977185, 103.92899194195202",1.2310135
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years,237000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",2.6813202
502,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,01 TO 03,59.0,Improved,1978,57 years 04 months,226000.0,502 BEDOK NORTH STREET 3,"1.33119695, 103.93120255038214",1.4787532
525,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,10 TO 12,67.0,New Generation,1979,58 years 07 months,241000.0,525 BEDOK NORTH STREET 3,"1.33472795, 103.92892431436249",1.2636548
540,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1980,59 years 06 months,245000.0,540 BEDOK NORTH STREET 3,"1.3310533, 103.92192894307725",0.53139794
509,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 08 months,238000.0,509 BEDOK NORTH STREET 3,"1.3337835, 103.9308648",1.4604294
545,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,04 TO 06,82.0,New Generation,1980,59 years 04 months,308888.0,545 BEDOK NORTH STREET 3,"1.3299811, 103.92392410902852",0.702249
532,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,10 TO 12,68.0,New Generation,1980,59 years 01 month,290000.0,532 BEDOK NORTH STREET 3,"1.33397915, 103.92518715710797",0.87630606
525,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,10 TO 12,67.0,New Generation,1979,58 years 06 months,285000.0,525 BEDOK NORTH STREET 3,"1.33472795, 103.92892431436249",1.2636548
536,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,10 TO 12,82.0,New Generation,1980,59 years,328000.0,536 BEDOK NORTH STREET 3,"1.333298, 103.92297812233502",0.6599683
525,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 06 months,250000.0,525 BEDOK NORTH STREET 3,"1.33472795, 103.92892431436249",1.2636548
542,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1985,64 years 08 months,245000.0,542 BEDOK NORTH STREET 3,"1.33059935, 103.92263093651664",0.5863209
105,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,70.0,New Generation,1985,64 years 08 months,275000.0,105 BEDOK RESERVOIR ROAD,"1.32922715, 103.9090129815935",1.0706857
628,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1983,62 years 01 month,288000.0,628 BEDOK RESERVOIR ROAD,"1.3348973, 103.9150075010044",0.5743961
615,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 04 months,280000.0,615 BEDOK RESERVOIR ROAD,"1.3323588499999999, 103.91599244405376",0.45450416
704,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,01 TO 03,68.0,New Generation,1981,60 years 06 months,260000.0,704 BEDOK RESERVOIR ROAD,"1.3368673, 103.9204745",0.5547087
616,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1982,61 years 05 months,278000.0,616 BEDOK RESERVOIR ROAD,"1.33151275, 103.91474192856921",0.52903736
713,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1981,60 years 06 months,280000.0,713 BEDOK RESERVOIR ROAD,"1.3366234000000001, 103.92241945966447",0.6737311
703,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1980,59 years 10 months,300000.0,703 BEDOK RESERVOIR ROAD,"1.3371143, 103.9199923",0.5393929
704,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 06 months,300000.0,704 BEDOK RESERVOIR ROAD,"1.3368673, 103.9204745",0.5547087
2,BEDOK STH AVE 1,2020-01,BEDOK,3 ROOM,13 TO 15,65.0,Improved,1976,55 years,250500.0,2 BEDOK SOUTH AVENUE 1,"1.3212585, 103.9332190782861",1.6638106
1,BEDOK STH AVE 1,2020-01,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1976,55 years,243000.0,1 BEDOK SOUTH AVENUE 1,"1.32084015, 103.93373861082546",1.7210289
42,CHAI CHEE ST,2020-01,BEDOK,3 ROOM,10 TO 12,67.0,New Generation,1985,64 years 06 months,300000.0,42 CHAI CHEE STREET,"1.32792105, 103.92576412895514",0.8721237
42,CHAI CHEE ST,2020-01,BEDOK,3 ROOM,13 TO 15,67.0,New Generation,1985,64 years 06 months,280000.0,42 CHAI CHEE STREET,"1.32792105, 103.92576412895514",0.8721237
