classification,avg_distance,avg_resale_price,count
0,0.366027336353846,468487.3384615385,130
1,0.7636020489855069,397378.0869565217,207
2,1.267354780059522,361949.2198809524,336
3,1.6587275374358976,412948.92307692306,195
4,2.38256509864254,378210.1538461539,221
5,2.6655045541547304,434017.98280802293,349
