lat_long,school
"Error: Not Singapore. Returned address 崇福路, 马陆镇, 嘉定区, 201814, 中国",CHONGFU SCHOOL
"1.35054425, 103.95092058934961",CHONGZHENG PRIMARY SCHOOL
"1.37793775, 103.74198414587175",CHUA CHU KANG PRIMARY SCHOOL
"1.31556955, 103.76320883321443",CLEMENTI PRIMARY SCHOOL
"1.3945064, 103.8980350715747",COMPASSVALE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Concord Primary School, 5, Thoreau Street, Concord, Dunedin, Dunedin City, Otago, 9018, New Zealand / Aotearoa",CONCORD PRIMARY SCHOOL
"1.35142845, 103.70769543642461",CORPORATION PRIMARY SCHOOL
"1.3354514, 103.92139171652317",DAMAI PRIMARY SCHOOL
"1.3591826, 103.74796785698436",DAZHONG PRIMARY SCHOOL
"Error: Not Singapore. Returned address De La Salle School, Pine Street, Freeport, Hempstead, Nassau County, New York, 11520, United States",DE LA SALLE SCHOOL
"1.3528815, 103.96191726928652",EAST SPRING PRIMARY SCHOOL
"1.40035045, 103.90752739305407",EDGEFIELD PRIMARY SCHOOL
"1.37491195, 103.94517579238352",ELIAS PARK PRIMARY SCHOOL
"Error: Not Singapore. Returned address Endeavour Primary School, Cheviot Road, East Anton, Andover, Enham Alamein, Test Valley, Hampshire, South East, England, SP11 6FY, United Kingdom",ENDEAVOUR PRIMARY SCHOOL
"1.32463215, 103.90458530342072",EUNOS PRIMARY SCHOOL
