classification,avg_distance,avg_resale_price,count
0,0.2639547993408071,494857.798206278,223
1,0.7662605969415804,467714.0618556701,291
2,1.3342513595092063,482478.0552147239,326
3,1.8174393405705178,460654.35182250396,1262
4,2.2442502931940798,466639.09826431406,2777
5,2.6917336068078646,422630.3963691377,661
