block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
466,ANG MO KIO AVE 10,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1984,63 years 08 months,268000.0,466 ANG MO KIO AVENUE 10,"1.36584095, 103.85703129999999",2.9436946
473,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,10 TO 12,91.0,New Generation,1984,63 years 07 months,345000.0,473 ANG MO KIO AVENUE 10,"1.36306195, 103.85683672723425",2.9385235
466,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,01 TO 03,93.0,New Generation,1984,63 years 08 months,328000.0,466 ANG MO KIO AVENUE 10,"1.36584095, 103.85703129999999",2.9436946
655,JLN TENAGA,2020-01,BEDOK,4 ROOM,07 TO 09,108.0,Model A,1996,75 years 11 months,480000.0,655 JALAN TENAGA,"1.3333292, 103.9067607549411",2.7851353
659,JLN TENAGA,2020-01,BEDOK,4 ROOM,13 TO 15,106.0,Model A,1996,75 years 09 months,500000.0,659 JALAN TENAGA,"1.3342316, 103.90613509785102",2.7174444
670,JLN DAMAI,2020-01,BEDOK,5 ROOM,07 TO 09,128.0,Improved,1996,75 years 09 months,610000.0,670 JALAN DAMAI,"1.3326737, 103.90821903998742",2.9459276
634,BEDOK RESERVOIR RD,2020-01,BEDOK,EXECUTIVE,07 TO 09,142.0,Apartment,1993,72 years 04 months,680000.0,634 BEDOK RESERVOIR ROAD,"1.3302334, 103.90509711629387",2.5960803
643,BEDOK RESERVOIR RD,2020-01,BEDOK,EXECUTIVE,13 TO 15,143.0,Apartment,1993,72 years 04 months,798888.0,643 BEDOK RESERVOIR ROAD,"1.3309521, 103.90583427823313",2.6787746
150A,BISHAN ST 11,2020-01,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,1989,68 years,392000.0,150A BISHAN STREET 11,"1.34469605, 103.85592293182222",2.9144306
151,BISHAN ST 11,2020-01,BISHAN,4 ROOM,04 TO 06,93.0,Simplified,1989,68 years 02 months,420000.0,151 BISHAN STREET 11,"1.3452161, 103.8558022198873",2.9299953
155,BISHAN ST 13,2020-01,BISHAN,5 ROOM,13 TO 15,121.0,Improved,1987,66 years 11 months,707000.0,155 BISHAN STREET 13,"1.34618195, 103.85604697260504",2.907718
