address,block,street_name,lat_long
201 YISHUN STREET 21,201,YISHUN ST 21,"Error: Road retrieved. Returned address Yishun Street 21, Yishun, Northwest, 768610, Singapore"
835 JURONG WEST STREET 81,835,JURONG WEST ST 81,"1.3434533, 103.69387411952056"
143 SERANGOON NORTH AVENUE 1,143,SERANGOON NTH AVE 1,"1.3673772, 103.87292130467318"
661 JALAN DAMAI,661,JLN DAMAI,"1.3345347, 103.90790931213105"
674 CHOA CHU KANG CRESCENT,674,CHOA CHU KANG CRES,"Error: Road retrieved. Returned address Choa Chu Kang Crescent, Northwest, 689097, Singapore"
109 PASIR RIS STREET 11,109,PASIR RIS ST 11,"1.3685416, 103.95606619553348"
304A ANCHORVALE LINK,304A,ANCHORVALE LINK,"1.3881343, 103.88872080159402"
279 TAMPINES STREET 22,279,TAMPINES ST 22,"1.3464866500000001, 103.95193142791837"
280 YISHUN STREET 22,280,YISHUN ST 22,"1.43857715, 103.83696765"
485 JURONG WEST AVENUE 1,485,JURONG WEST AVE 1,"1.3483260499999998, 103.72727175579587"
265 TAMPINES STREET 21,265,TAMPINES ST 21,"1.3522606000000001, 103.94985521800552"
872 YISHUN STREET 81,872,YISHUN ST 81,"Error: Road retrieved. Returned address Yishun Street 81, Yishun, Northwest, 760873, Singapore"
46 JALAN BUKIT HO SWEE,46,JLN BT HO SWEE,"1.2882937, 103.82615711433978"
674 HOUGANG AVENUE 8,674,HOUGANG AVE 8,"Error: Road retrieved. Returned address Hougang Avenue 8, Hougang, Northeast, 530631, Singapore"
7 UPPER ALJUNIED LANE,7,UPP ALJUNIED LANE,"Error: Road retrieved. Returned address Upper Aljunied Lane, Joo Seng Green, Joo Seng, Southeast, 367870, Singapore"
419 BEDOK NORTH STREET 1,419,BEDOK NTH ST 1,"Error: Road retrieved. Returned address Bedok North Street 1, Bedok, Southeast, 460419, Singapore"
177 BUKIT BATOK WEST AVENUE 8,177,BT BATOK WEST AVE 8,"1.3463664, 103.7415893"
358 BUKIT BATOK STREET 31,358,BT BATOK ST 31,"1.3613952, 103.7507986201035"
294 PUNGGOL CENTRAL,294,PUNGGOL CTRL,"Error: Road retrieved. Returned address Punggol Central, Punggol, Northeast, 821256, Singapore"
257C COMPASSVALE ROAD,257C,COMPASSVALE RD,"1.3929205, 103.8962227588473"
331 TAMPINES STREET 32,331,TAMPINES ST 32,"1.35337545, 103.95982938092996"
258 ANG MO KIO AVENUE 4,258,ANG MO KIO AVE 4,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 568987, Singapore"
686D CHOA CHU KANG CRESCENT,686D,CHOA CHU KANG CRES,"1.40414335, 103.74835746546026"
325 HOUGANG AVENUE 7,325,HOUGANG AVE 7,"1.3677399000000001, 103.89891108956752"
976 HOUGANG STREET 91,976,HOUGANG ST 91,"1.3773423, 103.88039117797143"
967 HOUGANG AVENUE 9,967,HOUGANG AVE 9,"Error: Road retrieved. Returned address Hougang Avenue 9, Hougang, Northeast, 538692, Singapore"
107 TOWNER ROAD,107,TOWNER RD,"1.3195887, 103.85988300933047"
572 PASIR RIS STREET 53,572,PASIR RIS ST 53,"1.3734709, 103.94553328857182"
520C TAMPINES CENTRAL 8,520C,TAMPINES CTRL 8,"1.3567049, 103.93958752792207"
335A SMITH STREET,335A,SMITH ST,"Error: Not Singapore. Returned address 335, Smith Street, Wilmer, Area G (Forster Creek/Mount Assiniboine), Regional District of East Kootenay, British Columbia, V0A 1K7, Canada"
507B WELLINGTON CIRCLE,507B,WELLINGTON CIRCLE,"1.45272335, 103.82303540348822"
567 PASIR RIS STREET 51,567,PASIR RIS ST 51,"1.3691404, 103.9493497815499"
36 EUNOS CRESCENT,36,EUNOS CRES,"1.32110585, 103.90189022344258"
453 JURONG WEST STREET 42,453,JURONG WEST ST 42,"1.35130025, 103.71743663314382"
77 LORONG LIMAU,77,LOR LIMAU,"Error: Road retrieved. Returned address Lorong Limau, Novena, Singapore, Central, 328836, Singapore"
164 SIMEI ROAD,164,SIMEI RD,"1.3459663499999999, 103.95864474166666"
2A GEYLANG SERAI,2A,GEYLANG SERAI,"1.3170229, 103.89774757743615"
722 BEDOK RESERVOIR ROAD,722,BEDOK RESERVOIR RD,"1.3366844, 103.92835185451924"
25 EUNOS CRESCENT,25,EUNOS CRES,"1.3233968, 103.90243501892064"
183D BOON LAY AVENUE,183D,BOON LAY AVE,"1.3490899500000002, 103.7090720996214"
202 BOON LAY DRIVE,202,BOON LAY DR,"1.34377645, 103.71514463607609"
636 BEDOK RESERVOIR ROAD,636,BEDOK RESERVOIR RD,"1.33104865, 103.90437258648484"
105 TECK WHYE LANE,105,TECK WHYE LANE,"1.3776095000000002, 103.75299804473684"
463 HOUGANG AVENUE 10,463,HOUGANG AVE 10,"1.3723141499999998, 103.89497479247439"
326A ANCHORVALE ROAD,326A,ANCHORVALE RD,"1.3948565, 103.888208"
892A WOODLANDS DRIVE 50,892A,WOODLANDS DR 50,"1.4373819, 103.79045248626184"
68 TELOK BLANGAH HEIGHTS,68,TELOK BLANGAH HTS,"Error: Road retrieved. Returned address Telok Blangah Heights, Bukit Merah, Singapore, Central, 100059, Singapore"
754 CHOA CHU KANG NORTH 5,754,CHOA CHU KANG NTH 5,"Error: Road retrieved. Returned address Choa Chu Kang North 5, Northwest, 680533, Singapore"
