address,block,street_name,lat_long
45 SIMS DRIVE,45,SIMS DR,"1.31732065, 103.87845445456986"
179 BISHAN STREET 13,179,BISHAN ST 13,"1.34860065, 103.8518574"
288B PUNGGOL PLACE,288B,PUNGGOL PL,"1.40273545, 103.90329458515905"
765 BEDOK RESERVOIR VIEW,765,BEDOK RESERVOIR VIEW,"1.33601215, 103.93576827192962"
128B PUNGGOL FIELD WALK,128B,PUNGGOL FIELD WALK,"Error: Road retrieved. Returned address Punggol Field Walk, Punggol, Northeast, 828750, Singapore"
703 WEST COAST ROAD,703,WEST COAST RD,"1.3066301, 103.76090633440887"
411 TAMPINES STREET 41,411,TAMPINES ST 41,"1.359146, 103.94624512416601"
101 CLEMENTI STREET 14,101,CLEMENTI ST 14,"1.3221645, 103.76883490770695"
120 HOUGANG AVENUE 1,120,HOUGANG AVE 1,"Error: Road retrieved. Returned address Hougang Avenue 1, Hougang, Northeast, 530110, Singapore"
163 ANG MO KIO AVENUE 4,163,ANG MO KIO AVE 4,"1.3738461499999999, 103.83858854339786"
219 CHOA CHU KANG CENTRAL,219,CHOA CHU KANG CTRL,"1.38243505, 103.74526611016339"
149 PASIR RIS STREET 13,149,PASIR RIS ST 13,"1.3618866, 103.9623594872046"
677A PUNGGOL DRIVE,677A,PUNGGOL DR,"1.4052023999999999, 103.9092231694882"
632A PUNGGOL DRIVE,632A,PUNGGOL DR,"1.4006953000000002, 103.9133893824202"
935 YISHUN CENTRAL 1,935,YISHUN CTRL 1,"1.4253108, 103.83678689760373"
632 YISHUN STREET 61,632,YISHUN ST 61,"Error: Road retrieved. Returned address Yishun Street 61, Nee Soon Central Meadows, Yishun, Northwest, 768548, Singapore"
263 YISHUN STREET 22,263,YISHUN ST 22,"1.4361823, 103.83899426032156"
670 JALAN DAMAI,670,JLN DAMAI,"1.3326737, 103.90821903998742"
10A BOON TIONG ROAD,10A,BOON TIONG RD,"Error: Road retrieved. Returned address Boon Tiong Road, Boon Tiong Aracadia, Bukit Merah, Singapore, Central, 163028, Singapore"
87 REDHILL CLOSE,87,REDHILL CL,"Error: Road retrieved. Returned address Redhill Close, Redhill Gardens, Bukit Merah, Singapore, Central, 150115, Singapore"
178 LOMPANG ROAD,178,LOMPANG RD,"Error: Road retrieved. Returned address Lompang Road, Bukit Panjang, Northwest, 677743, Singapore"
11 TECK WHYE LANE,11,TECK WHYE LANE,"1.3797394, 103.7549539719328"
46 BENDEMEER ROAD,46,BENDEMEER RD,"1.32292705, 103.86605779259558"
146 GANGSA ROAD,146,GANGSA RD,"Error: Road retrieved. Returned address Gangsa Road, Bukit Panjang, Northwest, 679002, Singapore"
163 GANGSA ROAD,163,GANGSA RD,"Error: Road retrieved. Returned address Gangsa Road, Bukit Panjang, Northwest, 679002, Singapore"
424 CLEMENTI AVENUE 1,424,CLEMENTI AVE 1,"1.3095766000000002, 103.77064090607851"
551 HOUGANG STREET 51,551,HOUGANG ST 51,"1.3785579000000001, 103.89054108854711"
461 JURONG WEST STREET 41,461,JURONG WEST ST 41,"1.3495432, 103.72080764786072"
986A JURONG WEST STREET 93,986A,JURONG WEST ST 93,"1.3371152, 103.69516927650574"
588C MONTREAL DRIVE,588C,MONTREAL DR,"1.45052705, 103.82468237370833"
205A COMPASSVALE LANE,205A,COMPASSVALE LANE,"1.3855965, 103.8973306"
291D BUKIT BATOK STREET 24,291D,BT BATOK ST 24,"1.3434255, 103.75548958043744"
669D JURONG WEST STREET 64,669D,JURONG WEST ST 64,"1.3434751999999999, 103.70322737357512"
217 MARSILING CRESCENT,217,MARSILING CRES,"Error: Road retrieved. Returned address Marsiling Crescent, Woodlands, Northwest, 739148, Singapore"
847 WOODLANDS STREET 82,847,WOODLANDS ST 82,"1.4421537500000001, 103.79198243678235"
324 CLEMENTI AVENUE 5,324,CLEMENTI AVE 5,"Error: Road retrieved. Returned address Clementi Avenue 5, Clementi, Southwest, 120335, Singapore"
984D BUANGKOK LINK,984D,BUANGKOK LINK,"Error: Road retrieved. Returned address Buangkok Link, Hougang, Northeast, 530991, Singapore"
456 YISHUN STREET 41,456,YISHUN ST 41,"Error: Road retrieved. Returned address Yishun Street 41, Yishun, Northwest, 760675, Singapore"
128 BEDOK RESERVOIR ROAD,128,BEDOK RESERVOIR RD,"1.3334381, 103.91153965394366"
848 JURONG WEST STREET 81,848,JURONG WEST ST 81,"1.3458933499999999, 103.69216550877198"
271 TAMPINES STREET 21,271,TAMPINES ST 21,"1.3499487000000001, 103.94994605"
552 BEDOK NORTH AVENUE 1,552,BEDOK NTH AVE 1,"1.33188455, 103.92782565988352"
14 TELOK BLANGAH CRESCENT,14,TELOK BLANGAH CRES,"1.2774776, 103.82063085407856"
849 YISHUN RING ROAD,849,YISHUN RING RD,"1.4171201, 103.8353542"
367 YISHUN RING ROAD,367,YISHUN RING RD,"1.42964945, 103.84530925653883"
289C BUKIT BATOK STREET 25,289C,BT BATOK ST 25,"1.34372405, 103.75999098548505"
631 CHOA CHU KANG NORTH 6,631,CHOA CHU KANG NTH 6,"Error: Road retrieved. Returned address Choa Chu Kang North 6, Northwest, 689579, Singapore"
