address,block,street_name,lat_long
121 PASIR RIS STREET 11,121,PASIR RIS ST 11,"1.3668819, 103.95456399229181"
171A EDGEDALE PLAINS,171A,EDGEDALE PLAINS,"Error: Road retrieved. Returned address Edgedale Plains, Punggol, Northeast, 828867, Singapore"
116B RIVERVALE DRIVE,116B,RIVERVALE DR,"1.3821894000000001, 103.90218138835422"
553 ANG MO KIO AVENUE 10,553,ANG MO KIO AVE 10,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560449, Singapore"
619 JURONG WEST STREET 65,619,JURONG WEST ST 65,"1.34150755, 103.69982102200834"
51 KENT ROAD,51,KENT RD,"Error: Not Singapore. Returned address 51, Kent Road, Heeley, Sheffield, Yorkshire and the Humber, England, S8 9RH, United Kingdom"
140 BEDOK RESERVOIR ROAD,140,BEDOK RESERVOIR RD,"1.3348786000000001, 103.9133814795322"
536 JELAPANG ROAD,536,JELAPANG RD,"Error: Road retrieved. Returned address Jelapang Road, Bukit Panjang, Northwest, 671524, Singapore"
93 PAYA LEBAR WAY,93,PAYA LEBAR WAY,"Error: Road retrieved. Returned address Paya Lebar Way, Geylang, Southeast, 370089, Singapore"
239 BISHAN STREET 22,239,BISHAN ST 22,"1.3603922499999999, 103.84479566826298"
201 BOON LAY DRIVE,201,BOON LAY DR,"1.34327115, 103.71546089106498"
238 TAMPINES STREET 21,238,TAMPINES ST 21,"1.3557396000000002, 103.94661001463415"
388 YISHUN RING ROAD,388,YISHUN RING RD,"1.429157, 103.84720547632364"
138 LORONG AH SOO,138,LOR AH SOO,"1.35168925, 103.8844620875"
601 ANG MO KIO AVENUE 5,601,ANG MO KIO AVE 5,"1.3810333, 103.8351336785349"
268 BUKIT BATOK EAST AVENUE 4,268,BT BATOK EAST AVE 4,"1.3492383000000001, 103.75924029976471"
57 CIRCUIT ROAD,57,CIRCUIT RD,"1.3247059, 103.88673485840123"
22 EUNOS CRESCENT,22,EUNOS CRES,"1.32476135, 103.9021193492959"
52 TEBAN GARDENS ROAD,52,TEBAN GDNS RD,"1.3209992000000002, 103.73742511937886"
404 JURONG WEST STREET 42,404,JURONG WEST ST 42,"1.353822, 103.72216086533467"
110 PASIR RIS STREET 11,110,PASIR RIS ST 11,"1.36867275, 103.9565850545538"
288C PUNGGOL PLACE,288C,PUNGGOL PL,"1.4025212, 103.90368489547757"
212A PUNGGOL WALK,212A,PUNGGOL WALK,"1.39998565, 103.89920922323546"
466B SEMBAWANG DRIVE,466B,SEMBAWANG DR,"Error: Road retrieved. Returned address Sembawang Drive, Sembawang, Northwest, 757632, Singapore"
209 YISHUN STREET 21,209,YISHUN ST 21,"1.4313528500000001, 103.8376963"
255 BISHAN STREET 22,255,BISHAN ST 22,"1.3616456000000001, 103.8428558005391"
923 HOUGANG AVENUE 9,923,HOUGANG AVE 9,"Error: Road retrieved. Returned address Hougang Avenue 9, Hougang, Northeast, 538692, Singapore"
44 TEBAN GARDENS ROAD,44,TEBAN GDNS RD,"1.3207631000000002, 103.74156727990507"
296 YISHUN STREET 20,296,YISHUN ST 20,"Error: Road retrieved. Returned address Yishun Street 20, Yishun, Northwest, 760291, Singapore"
824 JURONG WEST STREET 81,824,JURONG WEST ST 81,"1.34641105, 103.69396087941712"
116 EDGEFIELD PLAINS,116,EDGEFIELD PLAINS,"Error: Road retrieved. Returned address Edgefield Plains, Punggol, Northeast, 828850, Singapore"
306 CANBERRA ROAD,306,CANBERRA RD,"1.44587185, 103.82244432769633"
323 YISHUN CENTRAL,323,YISHUN CTRL,"1.4282772499999998, 103.84159126497758"
153 RIVERVALE CRESCENT,153,RIVERVALE CRES,"1.3914469500000002, 103.90680911699718"
122 BUKIT MERAH LANE 1,122,BT MERAH LANE 1,"1.2865215, 103.8042249"
59 CIRCUIT ROAD,59,CIRCUIT RD,"1.3252225000000002, 103.88678294814756"
45 JALAN TIGA,45,JLN TIGA,"1.3086691, 103.88453241400994"
131 SIMEI STREET 1,131,SIMEI ST 1,"1.34562785, 103.95414006585239"
181 BISHAN STREET 13,181,BISHAN ST 13,"1.3488779499999999, 103.85308367802932"
544 HOUGANG AVENUE 8,544,HOUGANG AVE 8,"Error: Road retrieved. Returned address Hougang Avenue 8, Hougang, Northeast, 530631, Singapore"
240 JURONG EAST STREET 21,240,JURONG EAST ST 21,"1.34104275, 103.74163659999999"
104 BUKIT PURMEI ROAD,104,BT PURMEI RD,"1.2724582, 103.82553591415487"
215 TAMPINES STREET 23,215,TAMPINES ST 23,"1.35459025, 103.95318560940132"
748 JURONG WEST STREET 73,748,JURONG WEST ST 73,"Error: Road retrieved. Returned address Jurong West Street 73, Jurong West, Southwest, 640744, Singapore"
663B JURONG WEST STREET 65,663B,JURONG WEST ST 65,"1.33811255, 103.70160667866983"
461 TAMPINES STREET 44,461,TAMPINES ST 44,"1.3588399, 103.9543513"
322A ANCHORVALE DRIVE,322A,ANCHORVALE DR,"1.3916187, 103.89236564466998"
126 ANG MO KIO AVENUE 3,126,ANG MO KIO AVE 3,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore"
450 SIN MING AVENUE,450,SIN MING AVE,"Error: Road retrieved. Returned address Sin Ming Avenue, Bishan, Singapore, Central, 579646, Singapore"
308C ANCHORVALE ROAD,308C,ANCHORVALE RD,"Error: Road retrieved. Returned address Anchorvale Road, Seng Kang, Northeast, 544336, Singapore"
144 POTONG PASIR AVENUE 2,144,POTONG PASIR AVE 2,"1.3326495500000002, 103.8654963"
