address,block,street_name,lat_long
330 JURONG EAST AVENUE 1,330,JURONG EAST AVE 1,"1.3505444999999998, 103.73008157603886"
329 TAH CHING ROAD,329,TAH CHING RD,"1.3375108999999998, 103.72386456427346"
184 EDGEFIELD PLAINS,184,EDGEFIELD PLAINS,"Error: Road retrieved. Returned address Edgefield Plains, Punggol, Northeast, 828850, Singapore"
17A CIRCUIT ROAD,17A,CIRCUIT RD,"1.3298619500000002, 103.88817191778736"
127 TAMPINES STREET 11,127,TAMPINES ST 11,"1.3454951, 103.95073009393661"
396 TAMPINES AVENUE 7,396,TAMPINES AVE 7,"1.3556914, 103.95646645"
308 TAMPINES STREET 32,308,TAMPINES ST 32,"1.35295845, 103.95690611248165"
16 JOO SENG ROAD,16,JOO SENG RD,"1.3364774, 103.88040342745782"
86 LORONG 2 TOA PAYOH,86,LOR 2 TOA PAYOH,"1.3357348, 103.84765634809614"
129 MARSILING RISE,129,MARSILING RISE,"Error: Road retrieved. Returned address Marsiling Rise, Woodlands, Northwest, 738099, Singapore"
237 SERANGOON AVENUE 3,237,SERANGOON AVE 3,"1.3541311999999999, 103.87025658648464"
77A REDHILL ROAD,77A,REDHILL RD,"Error: Not Singapore. Returned address Redhill Road, Redhill, Arnold, Gedling, Nottinghamshire, East Midlands, England, NG5 8HB, United Kingdom"
151 SERANGOON NORTH AVENUE 2,151,SERANGOON NTH AVE 2,"1.3693772, 103.8743758"
248 BISHAN STREET 22,248,BISHAN ST 22,"1.3613719999999998, 103.84327360162757"
305 UBI AVENUE 1,305,UBI AVE 1,"1.3294804, 103.90234809805258"
318 HOUGANG AVENUE 5,318,HOUGANG AVE 5,"1.3656783, 103.89621957425688"
15 UPPER BOON KENG ROAD,15,UPP BOON KENG RD,"1.315865, 103.87131915"
4B SAINT GEORGE'S LANE,4B,ST. GEORGE'S LANE,"1.3222838000000001, 103.86017355850971"
291 TAMPINES STREET 22,291,TAMPINES ST 22,"1.3500002, 103.95517740012788"
524B TAMPINES CENTRAL 7,524B,TAMPINES CTRL 7,"1.3589581, 103.93877278186508"
836 TAMPINES STREET 82,836,TAMPINES ST 82,"1.3505402, 103.93523205588082"
200 TOA PAYOH NORTH,200,TOA PAYOH NTH,"1.34132035, 103.8510918798568"
313 WOODLANDS STREET 31,313,WOODLANDS ST 31,"1.4308008499999998, 103.77617887375821"
428B YISHUN AVENUE 11,428B,YISHUN AVE 11,"1.4221285, 103.84735265195346"
437 YISHUN AVENUE 6,437,YISHUN AVE 6,"Error: Road retrieved. Returned address Yishun Avenue 6, Yishun, Northwest, 760406, Singapore"
120C RIVERVALE DRIVE,120C,RIVERVALE DR,"Error: Not Singapore. Returned address Rivervale Drive, Santa Cruz County, California, 95073, United States"
108 BISHAN STREET 12,108,BISHAN ST 12,"Error: Road retrieved. Returned address Bishan Street 12, Bishan, Singapore, Central, 570139, Singapore"
149 RIVERVALE CRESCENT,149,RIVERVALE CRES,"Error: Road retrieved. Returned address Rivervale Crescent, Seng Kang, Northeast, 540151, Singapore"
719 TAMPINES STREET 72,719,TAMPINES ST 72,"1.3589352, 103.93615342100534"
