classification,avg_distance,avg_resale_price,count
0,0.16087056474285716,569676.8285714285,35
1,0.7445737087037045,425723.74074074073,108
2,1.3085095104693132,658683.8700361011,277
3,1.7791738055199033,441040.1784338896,779
4,2.2487475119708056,491927.67591240874,1370
5,2.7263861144694546,425254.463022508,622
