lat_long,school
"1.4429414, 103.80034506744822",ADMIRALTY PRIMARY SCHOOL
"1.4338487, 103.83270977683569",AHMAD IBRAHIM PRIMARY SCHOOL
"1.3607125500000001, 103.83301753795786",AI TONG SCHOOL
"Error: Not Singapore. Returned address Alexandra Primary School, 15, Webster Street, Alexandra, Shire of Murrindindi, Victoria, 3714, Australia",ALEXANDRA PRIMARY SCHOOL
"1.3903797999999998, 103.8873537933713",ANCHOR GREEN PRIMARY SCHOOL
"1.38443915, 103.84141596723363",ANDERSON PRIMARY SCHOOL
"1.3691002, 103.83936023522986",ANG MO KIO PRIMARY SCHOOL
"1.30928255, 103.8413025008237",ANGLO-CHINESE SCHOOL (JUNIOR)
"1.31875235, 103.83507692293153",ANGLO-CHINESE SCHOOL (PRIMARY)
"1.36358045, 103.93891021314855",ANGSANA PRIMARY SCHOOL
"Error: Not Singapore. Returned address Beacon Primary School, Broadbent Street, Beacon, Shire Of Mount Marshall, Western Australia, 6472, Australia",BEACON PRIMARY SCHOOL
"1.3240565000000002, 103.93783056591907",BEDOK GREEN PRIMARY SCHOOL
"1.3222938499999999, 103.86508845",BENDEMEER PRIMARY SCHOOL
"1.27640575, 103.80880997314256",BLANGAH RISE PRIMARY SCHOOL
"1.3428882, 103.71293314363199",BOON LAY GARDEN PRIMARY SCHOOL
