lat_long,school
"1.4435723, 103.7940923",EVERGREEN PRIMARY SCHOOL
"Error: Not Singapore. Returned address Lancaster Methodist Episcopal Camp Ground Historic District, Lancaster, Fairfield County, Ohio, 43130, United States",FAIRFIELD METHODIST SCHOOL (PRIMARY)
"1.3125247, 103.8510381626646",FARRER PARK PRIMARY SCHOOL
"1.3300987, 103.93188245052653",FENGSHAN PRIMARY SCHOOL
"1.3976461, 103.88002141573315",FERN GREEN PRIMARY SCHOOL
"1.38997975, 103.8740776496129",FERNVALE PRIMARY SCHOOL
"1.3404649, 103.8558674534298",FIRST TOA PAYOH PRIMARY SCHOOL
"1.3369298, 103.69963774202806",FRONTIER PRIMARY SCHOOL
"1.43072155, 103.77823059447893",FUCHUN PRIMARY SCHOOL
"1.3364853499999998, 103.73645449079083",FUHUA PRIMARY SCHOOL
"1.2858741500000002, 103.81513175137866",GAN ENG SENG PRIMARY SCHOOL
"Error: Road retrieved. Returned address Geylang Methodist School, 2, Geylang East Central, Geylang East Garden, Geylang, Singapore, Southeast, 389705, Singapore",GEYLANG METHODIST SCHOOL (PRIMARY)
"1.3573263, 103.94931114016394",GONGSHANG PRIMARY SCHOOL
"1.39620005, 103.91272454370991",GREENDALE PRIMARY SCHOOL
"1.3856168, 103.76800482210834",GREENRIDGE PRIMARY SCHOOL
