lat_long,school
"1.33875125, 103.68825378175828",JUYING PRIMARY SCHOOL
"1.3453422000000002, 103.75639902669866",KEMING PRIMARY SCHOOL
"1.33703365, 103.84744227895004",KHENG CHENG SCHOOL
"1.3111953, 103.88787278336936",KONG HWA SCHOOL
"1.39393915, 103.74715505973106",KRANJI PRIMARY SCHOOL
"1.3492022000000001, 103.85503898769153",KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL
"Error: Not Singapore. Returned address Lakeside Primary School, Rippledale Close, Hatherley, Up Hatherley, Cheltenham, Gloucestershire, South West England, England, GL51 6HR, United Kingdom",LAKESIDE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Lianhua Primary School, 渝南大道, 鱼洞街道, 巴南区, 重庆市, 中国",LIANHUA PRIMARY SCHOOL
"1.3284777, 103.90153454958934",MAHA BODHI SCHOOL
"1.4341551, 103.77336667761655",MARSILING PRIMARY SCHOOL
"1.3402824, 103.83975627199351",MARYMOUNT CONVENT SCHOOL
"Error: Not Singapore. Returned address Mayflower Primary School, Upper North Street, Bow Common, Poplar, London Borough of Tower Hamlets, London, Greater London, England, E14 6DU, United Kingdom",MAYFLOWER PRIMARY SCHOOL
"1.3948814, 103.90854484597197",MEE TOH SCHOOL
"Error: Not Singapore. Returned address Meridian Primary School, Old Woolwich Road, East Greenwich, Royal Borough of Greenwich, London, Greater London, England, SE10 9NY, United Kingdom",MERIDIAN PRIMARY SCHOOL
"Error: Road retrieved. Returned address Methodist Girls' School, 11, Blackmore Drive, Bukit Timah, Singapore, Northwest, 599986, Singapore",METHODIST GIRLS' SCHOOL (PRIMARY)
