lat_long,school
"1.31280555, 103.75696495470032",QIFA PRIMARY SCHOOL
"1.4420502000000002, 103.78833369286497",QIHUA PRIMARY SCHOOL
"1.2960256, 103.8078517193143",QUEENSTOWN PRIMARY SCHOOL
"1.2750442, 103.8240239309686",RADIN MAS PRIMARY SCHOOL
"1.33012955, 103.80626230616794",RAFFLES GIRLS' PRIMARY SCHOOL
"1.3336412, 103.93461860928615",RED SWASTIKA SCHOOL
"1.29398185, 103.83608472066169",RIVER VALLEY PRIMARY SCHOOL
"Error: Not Singapore. Returned address Riverside Primary School, West Tamar Road, West Riverside, Riverside, Launceston, West Tamar, Tasmania, 7248, Australia",RIVERSIDE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Rivervale Primary School, 99, Acton Avenue, Kewdale, Rivervale, City of Belmont, Western Australia, 6103, Australia",RIVERVALE PRIMARY SCHOOL
"1.37276625, 103.87452822134901",ROSYTH SCHOOL
"1.34660905, 103.71873699937234",RULANG PRIMARY SCHOOL
"1.4452989, 103.82089038717231",SEMBAWANG PRIMARY SCHOOL
"1.38939055, 103.89939534841366",SENG KANG PRIMARY SCHOOL
"1.39288245, 103.87480361151378",SENGKANG GREEN PRIMARY SCHOOL
"1.34712705, 103.72159024757968",SHUQUN PRIMARY SCHOOL
