lat_long,school
"1.38410015, 103.89115435183996",PALM VIEW PRIMARY SCHOOL
"Error: Not Singapore. Returned address Park View Primary School, Deeside, Berg Estate, Buckskin, Basingstoke and Deane, Hampshire, South East, England, RG22 6BF, United Kingdom",PARK VIEW PRIMARY SCHOOL
"1.37215285, 103.96302630022184",PASIR RIS PRIMARY SCHOOL
NONE,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)
"1.3370857, 103.85567994909927",PEI CHUN PUBLIC SCHOOL
"1.3380993, 103.77621882050181",PEI HWA PRESBYTERIAN PRIMARY SCHOOL
"1.316004, 103.76784516774438",PEI TONG PRIMARY SCHOOL
"1.4177946000000001, 103.83016958773982",PEIYING PRIMARY SCHOOL
"Error: Not Singapore. Returned address Pioneer Primary School, Leighton Avenue, Weiser, Washington County, Idaho, 83672, United States",PIONEER PRIMARY SCHOOL
"1.3577705, 103.93548678736875",POI CHING SCHOOL
"1.3493822, 103.74095420018139",PRINCESS ELIZABETH PRIMARY SCHOOL
"1.4116855, 103.89911895564683",PUNGGOL COVE PRIMARY SCHOOL
"1.4019807499999999, 103.89854883359155",PUNGGOL GREEN PRIMARY SCHOOL
"1.3781311500000002, 103.89475446575264",PUNGGOL PRIMARY SCHOOL
"1.4053286, 103.90527821978418",PUNGGOL VIEW PRIMARY SCHOOL
