lat_long,school
"1.3746523499999999, 103.88953676594389",MONTFORT JUNIOR SCHOOL
"1.3920267499999999, 103.89104244775346",NAN CHIAU PRIMARY SCHOOL
"1.3065167500000001, 103.76477114778905",NAN HUA PRIMARY SCHOOL
"1.3208318499999998, 103.80821659496904",NANYANG PRIMARY SCHOOL
"1.4165306000000002, 103.83846101951393",NAVAL BASE PRIMARY SCHOOL
"Error: Not Singapore. Returned address New Town Primary School, Forster Street, New Town, Hobart, City of Hobart, Tasmania, 7008, Australia",NEW TOWN PRIMARY SCHOOL
"1.30554595, 103.91795247595277",NGEE ANN PRIMARY SCHOOL
"1.3876014, 103.9037892237047",NORTH SPRING PRIMARY SCHOOL
"1.42773465, 103.8486565717647",NORTH VIEW PRIMARY SCHOOL
"1.3828947999999999, 103.89597706955436",NORTH VISTA PRIMARY SCHOOL
"1.4212034, 103.84058396984423",NORTHLAND PRIMARY SCHOOL
"Error: Road retrieved. Returned address Northoaks, Woodlands, Northwest, Singapore",NORTHOAKS PRIMARY SCHOOL
"1.4180937999999998, 103.90466700674057",NORTHSHORE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Oasis Primary School, Thiongo Road, Kangemi, Nairobi, 13628-00800, Kenya",OASIS PRIMARY SCHOOL
"1.3196642, 103.92376598402687",OPERA ESTATE PRIMARY SCHOOL
