lat_long,school
"1.3734053, 103.76939883022703",BUKIT PANJANG PRIMARY SCHOOL
"1.33751905, 103.76684937098565",BUKIT TIMAH PRIMARY SCHOOL
"1.34570095, 103.7535184997777",BUKIT VIEW PRIMARY SCHOOL
"1.45085035, 103.81559371692055",CANBERRA PRIMARY SCHOOL
NONE,CANOSSA CATHOLIC PRIMARY SCHOOL
"1.2758142000000001, 103.83988838698619",CANTONMENT PRIMARY SCHOOL
"1.3728079, 103.9572278570395",CASUARINA PRIMARY SCHOOL
"Error: Not Singapore. Returned address Cedar Primary School, Camellia Street, Bontheuwel, Bonteheuwel, City of Cape Town, Western Cape, 7764, South Africa",CEDAR PRIMARY SCHOOL
"1.33982335, 103.95227531092621",CHANGKAT PRIMARY SCHOOL
"Error: Road retrieved. Returned address CHIJ Katong Convent (Primary), Marine Parade Road, Bedok, Southeast, 424821, Singapore",CHIJ (KATONG) PRIMARY
"1.274664, 103.8280550817506",CHIJ (KELLOCK)
NONE,CHIJ OUR LADY OF GOOD COUNSEL
NONE,CHIJ OUR LADY OF THE NATIVITY
NONE,CHIJ OUR LADY QUEEN OF PEACE
"Error: Road retrieved. Returned address CHIJ (Toa Payoh) Primary School, 628, Lorong 1 Toa Payoh, Toa Payoh, Singapore, Central, 319765, Singapore",CHIJ PRIMARY (TOA PAYOH)
